model,category,n_tasks,mean_score,mean_avg_input_tokens,mean_avg_output_tokens,mean_wall_sec,mean_avg_latency_ms,median_avg_input_tokens,median_avg_output_tokens,median_wall_sec,n_token_samples
Claude Haiku 4.5,Associative Learning,17,0.5,2772.0,296.0,2.77,1544.0,2772.0,296.0,2.77,1
Claude Haiku 4.5,Concept Formation,18,0.19,1997.63,83.13,26.13,1070.47,1919.1,86.6,27.81,3
Claude Haiku 4.5,Language Learning,26,0.35,2330.51,178.93,26.14,1765.8,2104.55,159.65,23.7,22
Claude Haiku 4.5,Observational Learning,38,0.24,1504.2,109.8,1.94,967.2,1581.0,101.0,1.87,5
Claude Haiku 4.5,Overall,131,0.36,2179.26,162.29,21.48,1562.55,1969.0,143.0,19.65,31
Claude Haiku 4.5,Reinforcement Learning,32,0.54,,,,,,,,0
Claude Opus 4.6,Associative Learning,17,0.68,2040.5,186.5,4.07,3060.0,1926.5,176.0,3.75,4
Claude Opus 4.6,Concept Formation,18,0.26,1561.3,91.75,54.01,2634.1,1561.3,91.75,54.01,2
Claude Opus 4.6,Language Learning,26,0.51,,,,,,,,0
Claude Opus 4.6,Observational Learning,38,0.34,,,,,,,,0
Claude Opus 4.6,Overall,131,0.48,1880.77,154.92,20.72,2918.03,1671.7,161.0,4.98,6
Claude Opus 4.6,Reinforcement Learning,32,0.62,,,,,,,,0
Claude Sonnet 4.6,Associative Learning,17,0.66,2288.0,214.0,3.75,2540.0,2288.0,214.0,3.75,1
Claude Sonnet 4.6,Concept Formation,18,0.33,,,,,,,,0
Claude Sonnet 4.6,Language Learning,26,0.47,,,,,,,,0
Claude Sonnet 4.6,Observational Learning,38,0.27,2426.0,120.8,2.81,1861.0,1341.0,112.0,2.71,5
Claude Sonnet 4.6,Overall,131,0.45,2330.87,127.97,12.86,2043.3,1490.0,112.0,3.07,7
Claude Sonnet 4.6,Reinforcement Learning,32,0.6,1898.1,77.8,72.24,2458.1,1898.1,77.8,72.24,1
DeepSeek V3.2,Associative Learning,17,0.52,,,,,,,,0
DeepSeek V3.2,Concept Formation,18,0.19,,,,,,,,0
DeepSeek V3.2,Language Learning,26,0.47,,,,,,,,0
DeepSeek V3.2,Observational Learning,38,0.43,1590.75,2391.5,78.16,63772.0,1099.5,2022.0,84.48,5
DeepSeek V3.2,Overall,131,0.44,1590.75,2391.5,78.16,63772.0,1099.5,2022.0,84.48,5
DeepSeek V3.2,Reinforcement Learning,32,0.51,,,,,,,,0
GLM-5,Associative Learning,17,0.77,1401.0,13008.0,225.87,224718.0,1401.0,13008.0,225.87,1
GLM-5,Concept Formation,18,0.57,300.5,4166.5,195.18,91457.5,300.5,4166.5,195.18,1
GLM-5,Language Learning,26,0.69,741.5,2296.5,58.18,28561.0,741.5,2296.5,58.18,1
GLM-5,Observational Learning,38,0.57,,,302.06,,,,302.06,2
