category,model,json_aggregate,computed_aggregate,tier,provider
associative,GLM-5,0.0,0.7916666666666666,frontier,Open-source
associative,Gemma 4 26B A4B,0.0,0.5013784461152881,small,Google
associative,Gemini 2.5 Flash,,0.5949404761904762,mid,Google
associative,Claude Haiku 4.5,,0.502202380952381,small,Anthropic
associative,DeepSeek V3.2,,0.5232142857142856,mid,Open-source
associative,Qwen 3 Next 80B Instruct,,0.4638095238095238,small,Open-source
associative,Qwen 3 Next 80B Thinking,,0.6276190476190476,mid,Open-source
associative,Claude Opus 4.6,,0.6616071428571428,frontier,Anthropic
associative,Claude Sonnet 4.6,,0.6507738095238096,mid,Anthropic
associative,Gemini 3.1 Pro Preview,,0.9351190476190476,frontier,Google
associative,GPT-5.4,,0.6501785714285714,frontier,OpenAI
associative,Gemini 3.1 Flash-Lite Preview,,0.5616071428571429,mid,Google
associative,GPT-5.4 mini,,0.4872619047619048,mid,OpenAI
associative,GPT-5.4 nano,,0.4367857142857143,small,OpenAI
concept,Gemini 3.1 Pro Preview,0.7236534518113465,0.7236534518113465,frontier,Google
concept,GLM-5,0.5495574162679425,0.5495574162679425,frontier,Open-source
concept,Qwen 3 Next 80B Thinking,0.5411611414900889,0.5411611414900889,mid,Open-source
concept,Gemini 2.5 Flash,0.517781954887218,0.517781954887218,mid,Google
concept,Claude Sonnet 4.6,0.3291507177033493,0.3291507177033493,mid,Anthropic
concept,Gemini 3.1 Flash-Lite Preview,0.32252050580997943,0.3225205058099795,mid,Google
concept,Gemma 4 26B A4B,0.2782330827067669,0.27823308270676694,small,Google
concept,GPT-5.4 mini,0.27581339712918657,0.27581339712918657,mid,OpenAI
concept,GPT-5.4,0.2675538277511963,0.2675538277511962,frontier,OpenAI
concept,Claude Opus 4.6,0.2615789473684211,0.2615789473684211,frontier,Anthropic
concept,Claude Haiku 4.5,0.198421052631579,0.19842105263157897,small,Anthropic
concept,DeepSeek V3.2,0.19406015037593985,0.19406015037593985,mid,Open-source
concept,Qwen 3 Next 80B Instruct,0.19096291866028708,0.19096291866028708,small,Open-source
concept,GPT-5.4 nano,0.15556220095693785,0.15556220095693782,small,OpenAI
language,Gemini 3.1 Pro Preview,0.7557284062091755,0.7557284062091755,frontier,Google
language,GLM-5,0.6932115960962115,0.6932115960962115,frontier,Open-source
language,Qwen 3 Next 80B Thinking,0.6227024898178745,0.6227024898178743,mid,Open-source
language,GPT-5.4,0.5997484246522709,0.5997484246522709,frontier,OpenAI
language,Claude Opus 4.6,0.510034965034965,0.510034965034965,frontier,Anthropic
language,Gemini 3.1 Flash-Lite Preview,0.4922054868208715,0.49220548682087145,mid,Google
language,DeepSeek V3.2,0.4725771344040576,0.4725771344040575,mid,Open-source
language,Gemini 2.5 Flash,0.47039710289710296,0.4703971028971029,mid,Google
language,Claude Sonnet 4.6,0.4667976254514715,0.46679762545147163,mid,Anthropic
language,GPT-5.4 mini,0.46276185353108423,0.46276185353108434,mid,OpenAI
language,Qwen 3 Next 80B Instruct,0.41460014344629736,0.4146001434462973,small,Open-source
language,Claude Haiku 4.5,0.34860543302851,0.34860543302851,small,Anthropic
language,GPT-5.4 nano,0.3147442941673711,0.3147442941673711,small,OpenAI
language,Gemma 4 26B A4B,0.27074742565127186,0.2707474256512718,small,Google
observational,Gemini 3.1 Pro Preview,0.8374999999999999,0.8374999999999999,frontier,Google
observational,Qwen 3 Next 80B Thinking,0.5799603174603175,0.5799603174603175,mid,Open-source
observational,GLM-5,0.557936507936508,0.557936507936508,frontier,Open-source
observational,DeepSeek V3.2,0.42500000000000004,0.42500000000000004,mid,Open-source
observational,Gemini 2.5 Flash,0.35,0.35,mid,Google
observational,Claude Opus 4.6,0.31527777777777777,0.31527777777777777,frontier,Anthropic
observational,Qwen 3 Next 80B Instruct,0.30337301587301585,0.3033730158730159,small,Open-source
observational,GPT-5.4,0.2912698412698413,0.2912698412698413,frontier,OpenAI
observational,Gemini 3.1 Flash-Lite Preview,0.2845238095238095,0.2845238095238095,mid,Google
observational,Claude Sonnet 4.6,0.25476190476190474,0.25476190476190474,mid,Anthropic
observational,Claude Haiku 4.5,0.24087301587301585,0.24087301587301588,small,Anthropic
observational,Gemma 4 26B A4B,0.20714285714285713,0.20714285714285713,small,Google
observational,GPT-5.4 mini,0.20515873015873012,0.20515873015873018,mid,OpenAI
observational,GPT-5.4 nano,0.14365079365079364,0.14365079365079364,small,OpenAI
rl,Gemini 3.1 Pro Preview,0.6236619999999999,0.6236619999999999,frontier,Google
rl,GLM-5,0.5268419999999999,0.5268419999999999,frontier,Open-source
rl,Gemini 2.5 Flash,0.498106,0.498106,mid,Google
rl,Qwen 3 Next 80B Thinking,0.4741319999999999,0.47413200000000005,mid,Open-source
rl,Gemma 4 26B A4B,0.447478,0.447478,small,Google
rl,Claude Sonnet 4.6,0.42013799999999996,0.420138,mid,Anthropic
rl,DeepSeek V3.2,0.41507600000000006,0.41507599999999995,mid,Open-source
rl,Gemini 3.1 Flash-Lite Preview,0.41195400000000015,0.411954,mid,Google
rl,GPT-5.4,0.410544,0.410544,frontier,OpenAI
rl,Claude Opus 4.6,0.4085440000000001,0.40854399999999996,frontier,Anthropic
rl,Claude Haiku 4.5,0.40361000000000014,0.40360999999999997,small,Anthropic
rl,GPT-5.4 mini,0.28819999999999996,0.2882,mid,OpenAI
rl,Qwen 3 Next 80B Instruct,0.267758,0.267758,small,Open-source
rl,GPT-5.4 nano,0.201928,0.20192800000000002,small,OpenAI
