category,task_name,entropy,normalized_entropy,n_models,mean_score,std_score,entropy_class
associative,blocking_effect_assoc_learning,2.2709,0.6836,14,0.7411,0.1917,high_entropy
associative,contextual_flip_assoc_learning,2.067,0.6222,14,0.4732,0.1779,medium_entropy
associative,cumulative_state_rewrite_assoc_learning,2.1416,0.6447,13,0.2637,0.2957,medium_entropy
associative,deep_second_order_extinction_assoc_learning,1.7783,0.5353,14,0.8214,0.1698,medium_entropy
associative,gated_dual_signal_binding_assoc_learning,2.192,0.6599,13,0.4744,0.3125,high_entropy
associative,glyph_bind_assoc_learning,1.5466,0.4656,13,0.3077,0.305,medium_entropy
associative,inference_dyad_operators_assoc_learning,2.121,0.6385,14,0.3482,0.2881,medium_entropy
associative,inhibitory_summation_assoc_learning,2.3527,0.7082,14,0.5804,0.1806,high_entropy
associative,latent_cross_binding_assoc_learning,1.8774,0.5651,14,0.619,0.2221,medium_entropy
associative,latent_inhibition_assoc_learning,2.0202,0.6082,14,0.6339,0.1453,medium_entropy
associative,latent_set_binding_assoc_learning,1.7783,0.5353,14,0.8469,0.1981,medium_entropy
associative,latent_set_variant_assoc_learning,0.9403,0.2831,14,0.8929,0.0799,low_entropy
associative,learned_irrelevance_assoc_learning,1.9242,0.5792,14,0.8304,0.161,medium_entropy
associative,occasion_setting_assoc_learning,2.0202,0.6082,14,0.852,0.1415,medium_entropy
associative,odd_letter_score_pair_assoc_learning,1.8262,0.5498,13,0.5,0.2067,medium_entropy
associative,overexpectation_assoc_learning,1.9502,0.5871,14,0.3929,0.2667,medium_entropy
associative,retrospective_revaluation_assoc_learning,2.156,0.649,14,0.6224,0.2329,medium_entropy
associative,spurious_hue_true_edge_assoc_learning,1.9212,0.5783,14,0.2679,0.3199,medium_entropy
associative,temporal_pairing_tnr_assoc_learning,1.1401,0.3432,13,0.9038,0.1562,low_entropy
associative,xor_attribute_binding_assoc_learning,1.8424,0.5546,14,0.5238,0.2428,medium_entropy
concept,consonant_clusters_concept_learning,2.2709,0.6836,14,0.2194,0.2758,high_entropy
concept,digit_cipher_concept_learning,1.4838,0.4467,14,0.2114,0.3505,medium_entropy
concept,disjunctive_noise_concept_learning,2.4956,0.7513,14,0.4093,0.1919,high_entropy
concept,dual_recurrence_concept_learning,1.8352,0.5525,14,0.1957,0.1627,medium_entropy
concept,encoded_triple_concept_learning,2.8074,0.8451,14,0.5357,0.3307,high_entropy
concept,grid_transform_concept_learning,1.0949,0.3296,14,0.2429,0.4083,low_entropy
concept,hapax_prime_concept_learning,1.5216,0.4581,14,0.31,0.1187,medium_entropy
concept,interleave_reverse_concept_learning,0.8631,0.2598,14,0.2857,0.4518,low_entropy
concept,layered_transform_concept_learning,0.7496,0.2257,14,0.2076,0.3977,low_entropy
concept,modular_subsequence_concept_learning,1.5774,0.4748,14,0.1179,0.0983,medium_entropy
concept,nested_logic_concept_learning,2.6106,0.7859,14,0.5654,0.2094,high_entropy
concept,positional_encode_concept_learning,2.4067,0.7245,14,0.3171,0.2644,high_entropy
concept,positional_mapping_concept_learning,2.067,0.6222,14,0.5769,0.3451,medium_entropy
concept,relational_pairs_concept_learning,1.9852,0.5976,14,0.5779,0.116,medium_entropy
concept,semantic_override_concept_learning,2.4677,0.7429,14,0.5759,0.3075,high_entropy
concept,state_machine_concept_learning,2.3527,0.7082,14,0.4656,0.212,high_entropy
concept,triple_parity_concept_learning,2.8074,0.8451,14,0.3271,0.2047,high_entropy
concept,violation_counter_concept_learning,1.9212,0.5783,14,0.1682,0.2099,medium_entropy
concept,vowel_rotation_concept_learning,1.2917,0.3888,14,0.2128,0.3505,low_entropy
language,dimval_metathesis_lang_learning,2.4956,0.7513,14,0.358,0.2757,high_entropy
language,drafnelt_switch_reference_lang_learning,1.4345,0.4318,14,0.867,0.2214,medium_entropy
language,dralven_tone_sandhi_lang_learning,1.5216,0.4581,14,0.3258,0.0729,medium_entropy
language,drelkovak_harmony_lang_learning,2.1488,0.6469,14,0.505,0.2891,medium_entropy
language,drelvak_reduplication_lang_learning,2.5027,0.7534,14,0.4122,0.1513,high_entropy
language,grelkan_suppletion_lang_learning,2.182,0.6568,14,0.345,0.1566,high_entropy
language,gwelthar_mirative_evidential_tone_lang_learning,2.8963,0.8719,14,0.4747,0.2282,high_entropy
language,kelstran_tone_lang_learning,2.7534,0.8289,14,0.385,0.3107,high_entropy
language,kophar_quantity_lang_learning,1.5744,0.4739,14,0.6128,0.1508,medium_entropy
language,mixed_radix_number_lang_learning,2.2988,0.692,14,0.2334,0.2521,high_entropy
language,norkvash_scalar_lang_learning,2.4067,0.7245,14,0.4657,0.2544,high_entropy
language,pelvan_agreement_lang_learning,2.3249,0.6999,14,0.1776,0.1742,high_entropy
language,prentova_allomorphy_wugtest_lang_learning,2.217,0.6674,14,0.5059,0.2005,high_entropy
language,skelth_allomorph_lang_learning,2.4067,0.7245,14,0.6921,0.2858,high_entropy
language,sklonveth_root_pattern_lang_learning,2.1488,0.6469,14,0.3862,0.1225,medium_entropy
language,skolvren_polysynthetic_lang_learning,1.0892,0.3279,14,0.0688,0.1517,low_entropy
language,skovar_deletion_lang_learning,3.2359,0.9741,14,0.4795,0.3281,high_entropy
language,strelkov_ergative_lang_learning,2.2608,0.6806,14,0.7548,0.3174,high_entropy
