task_name,has_unknown_answers,mean_score,std_score,n_models_scoring_zero
blocking_effect_assoc_learning,True,0.7411,0.1989,0
deep_second_order_extinction_assoc_learning,True,0.8214,0.1762,0
xor_attribute_binding_assoc_learning,True,0.5238,0.252,0
cumulative_state_rewrite_assoc_learning,False,0.2637,0.3078,3
learned_irrelevance_assoc_learning,False,0.8304,0.167,0
temporal_pairing_tnr_assoc_learning,False,0.9038,0.1626,0
spurious_hue_true_edge_assoc_learning,False,0.2679,0.332,7
retrospective_revaluation_assoc_learning,False,0.6224,0.2417,0
overexpectation_assoc_learning,False,0.3929,0.2767,1
odd_letter_score_pair_assoc_learning,False,0.5,0.2152,0
occasion_setting_assoc_learning,False,0.852,0.1468,0
latent_set_variant_assoc_learning,False,0.8929,0.0829,0
gated_dual_signal_binding_assoc_learning,False,0.4744,0.3252,2
contextual_flip_assoc_learning,False,0.4732,0.1846,0
latent_inhibition_assoc_learning,False,0.6339,0.1508,0
latent_cross_binding_assoc_learning,False,0.619,0.2305,0
inhibitory_summation_assoc_learning,False,0.5804,0.1874,0
inference_dyad_operators_assoc_learning,False,0.3482,0.299,0
glyph_bind_assoc_learning,False,0.3077,0.3174,1
latent_set_binding_assoc_learning,False,0.8469,0.2056,0
