task_name,category,mean_score,std_score,discrimination_r,entropy,tier_gap,flags,n_flags,removal_priority
hangman_lite_rf_learning,rl,0.0095,0.0356,0.2243,0.3712,0.0,all_zero | low_entropy(0.371) | extreme_or_inverted_bimodal,3,high
levenshtein_words_rf_learning,rl,0.0071,0.0267,0.2243,0.3712,0.0,all_zero | low_entropy(0.371) | extreme_or_inverted_bimodal,3,high
lights_out_2x2_rf_learning,rl,0.0071,0.0267,0.2243,0.3712,0.0,all_zero | low_entropy(0.371) | extreme_or_inverted_bimodal,3,high
euler_totient_rf_learning,rl,0.0,0.0,0.0,-0.0,0.0,all_zero | low_entropy(-0.000),2,high
hapax_prime_concept_learning,concept,0.31,0.1232,-0.2628,1.5216,-0.03,negative_discrimination(r=-0.263) | extreme_or_inverted_bimodal,2,medium
custom_gravity_simulation_obs_learning,observational,0.8571,0.2895,-0.1263,1.2917,-0.1875,negative_discrimination(r=-0.126) | inverted_tier_gap(-0.188),2,medium
cyclic_distance_rf_learning,rl,0.9332,0.2362,0.5673,0.3712,0.2338,low_entropy(0.371) | extreme_or_inverted_bimodal,2,medium
digit_square_error_rf_learning,rl,0.2441,0.1867,-0.0157,0.3712,0.177,negative_discrimination(r=-0.016) | low_entropy(0.371),2,medium
hanoi_two_rf_learning,rl,0.1516,0.3568,0.2341,0.9464,-0.2466,inverted_tier_gap(-0.247) | extreme_or_inverted_bimodal,2,medium
letter_overlap_word_rf_learning,rl,0.1421,0.3611,0.2312,0.5917,-0.2472,inverted_tier_gap(-0.247) | extreme_or_inverted_bimodal,2,medium
linear_polynomial_rf_learning,rl,0.0714,0.2673,0.2243,0.3712,0.0,low_entropy(0.371) | extreme_or_inverted_bimodal,2,medium
linear_equation_rf_learning,rl,0.0714,0.2673,0.2243,0.3712,0.0,low_entropy(0.371) | extreme_or_inverted_bimodal,2,medium
minesweeper_1d_rf_learning,rl,0.6167,0.3938,-0.0805,1.8424,-0.3932,negative_discrimination(r=-0.080) | inverted_tier_gap(-0.393),2,medium
semantic_override_concept_learning,concept,0.5759,0.3191,0.022,2.4677,-0.2063,inverted_tier_gap(-0.206),1,medium
vigenere_variant_cipher_obs_learning,observational,0.0357,0.1336,0.7396,0.3712,0.125,low_entropy(0.371),1,medium
voronoi_custom_metric_obs_learning,observational,0.3452,0.2399,-0.0591,2.4138,0.125,negative_discrimination(r=-0.059),1,medium
digitwise_l1_rf_learning,rl,0.2162,0.2259,0.5484,0.3712,0.2215,low_entropy(0.371),1,medium
