category,task_name,mean,std,min,max,median,n_models,n_zero,n_perfect,pct_zero,pct_perfect,entropy,bimodality_coeff,item_discrimination,kw_stat,kw_p,tier_discriminates,mean_small,mean_mid,mean_frontier,flags,n_flags
observational,vigenere_variant_cipher_obs_learning,0.03571428571428571,0.12876968840942818,0.0,0.5,0.0,14,13,0,0.9285714285714286,0.0,0.37123232664087563,0.9349032345378263,0.7395671281660421,2.5000000000000004,0.28650479686019,False,0.0,0.0,0.125,low_entropy|no_tier_diff|bimodal|too_hard,4
rl,levenshtein_words_rf_learning,0.0071428571428571435,0.025753937681885646,0.0,0.1,0.0,14,13,0,0.9285714285714286,0.0,0.37123232664087563,0.9349032345378255,0.2243229831898435,1.3333333333333643,0.5134171190325841,False,0.0,0.016666666666666666,0.0,near_uniform|low_entropy|bimodal|too_hard,4
rl,lights_out_2x2_rf_learning,0.0071428571428571435,0.025753937681885646,0.0,0.1,0.0,14,13,0,0.9285714285714286,0.0,0.37123232664087563,0.9349032345378255,0.2243229831898435,1.3333333333333643,0.5134171190325841,False,0.0,0.016666666666666666,0.0,near_uniform|low_entropy|bimodal|too_hard,4
rl,hangman_lite_rf_learning,0.009521428571428571,0.034329998929953566,0.0,0.1333,0.0,14,13,0,0.9285714285714286,0.0,0.37123232664087563,0.9349032345378271,0.22432298318984353,1.3333333333333643,0.5134171190325841,False,0.0,0.022216666666666666,0.0,near_uniform|low_entropy|bimodal|too_hard,4
rl,grid_seven_rf_learning,0.022614285714285715,0.03810104717613897,0.0,0.1333,0.0,14,8,0,0.5714285714285714,0.0,0.37123232664087563,0.727225079205976,0.3718761502657599,0.6414859981933201,0.7256097093799104,False,0.00835,0.03331666666666667,0.020825,near_uniform|low_entropy|bimodal|too_hard,4
rl,digit_square_error_rf_learning,0.24414285714285713,0.17988750736536002,0.1778,0.8924,0.197,14,0,0,0.0,0.0,0.37123232664087563,0.9335348526868825,-0.015736520848734357,1.6274127691165552,0.44321230295547387,False,0.192975,0.19436666666666666,0.369975,low_entropy|no_discrimination|no_tier_diff|bimodal,4
associative,temporal_pairing_tnr_assoc_learning,0.9038461538461539,0.15623150778146078,0.5,1.0,1.0,13,0,9,0.0,0.6923076923076923,1.1401156785146092,0.6253513284901304,0.5313219132056289,3.7333333333333307,0.15463826454925506,False,0.75,0.9166666666666666,1.0,no_tier_diff|bimodal|too_easy,3
concept,hapax_prime_concept_learning,0.31000000000000005,0.1186832519175064,0.2,0.66,0.28,14,0,0,0.0,0.0,1.5216406363433184,0.7233566047388881,-0.2628481219349575,0.6169324221716017,0.7345727721962201,False,0.29000000000000004,0.3566666666666667,0.26,no_discrimination|no_tier_diff|bimodal,3
observational,custom_gravity_simulation_obs_learning,0.8571428571428571,0.2789374884252377,0.0,1.0,1.0,14,1,10,0.07142857142857142,0.7142857142857143,1.2916919971380596,0.7454766525237229,-0.12630956455787495,0.1293252595155684,0.9373836553883842,False,0.9375,0.875,0.75,no_discrimination|no_tier_diff|bimodal,3
rl,linear_equation_rf_learning,0.07142857142857142,0.25753937681885636,0.0,1.0,0.0,14,13,1,0.9285714285714286,0.07142857142857142,0.37123232664087563,0.9349032345378263,0.22432298318984353,1.3333333333333643,0.5134171190325841,False,0.0,0.16666666666666666,0.0,low_entropy|no_tier_diff|bimodal,3
