task_slug,task_name,category,model,score,avg_input_tokens,avg_output_tokens,wall_sec,n_requests,total_input_tokens,total_output_tokens,avg_latency_ms
affine-cipher-word-rf-learning,affine_cipher_word_rf_learning,Reinforcement Learning,Claude Haiku 4.5,0.04,,,,,,,
affine-cipher-word-rf-learning,affine_cipher_word_rf_learning,Reinforcement Learning,Claude Opus 4.6,0.04,,,,,,,
affine-cipher-word-rf-learning,affine_cipher_word_rf_learning,Reinforcement Learning,Claude Sonnet 4.6,0.04,,,,,,,
affine-cipher-word-rf-learning,affine_cipher_word_rf_learning,Reinforcement Learning,DeepSeek V3.2,0.0,,,,,,,
affine-cipher-word-rf-learning,affine_cipher_word_rf_learning,Reinforcement Learning,GLM-5,0.7868,,,,,,,
affine-cipher-word-rf-learning,affine_cipher_word_rf_learning,Reinforcement Learning,GPT-5.4,0.8,,,,,,,
affine-cipher-word-rf-learning,affine_cipher_word_rf_learning,Reinforcement Learning,GPT-5.4 mini,0.0,,,,,,,
affine-cipher-word-rf-learning,affine_cipher_word_rf_learning,Reinforcement Learning,GPT-5.4 nano,0.8,,,,,,,
affine-cipher-word-rf-learning,affine_cipher_word_rf_learning,Reinforcement Learning,Gemini 2.5 Flash,0.0,,,,,,,
affine-cipher-word-rf-learning,affine_cipher_word_rf_learning,Reinforcement Learning,Gemini 3.1 Flash-Lite Preview,0.0,,,,,,,
affine-cipher-word-rf-learning,affine_cipher_word_rf_learning,Reinforcement Learning,Gemini 3.1 Pro Preview,0.8,,,,,,,
affine-cipher-word-rf-learning,affine_cipher_word_rf_learning,Reinforcement Learning,Gemma 4 26B A4B,0.8,,,,,,,
affine-cipher-word-rf-learning,affine_cipher_word_rf_learning,Reinforcement Learning,Qwen 3 Next 80B Instruct,0.0,,,,,,,
affine-cipher-word-rf-learning,affine_cipher_word_rf_learning,Reinforcement Learning,Qwen 3 Next 80B Thinking,0.0,5820.9,1189.4,169.78,24,139702,28546,6865.4
affine-transform-chain-obs-learning,affine_transform_chain_obs_learning,Observational Learning,Claude Haiku 4.5,0.0,,,,,,,
affine-transform-chain-obs-learning,affine_transform_chain_obs_learning,Observational Learning,Claude Opus 4.6,0.75,,,,,,,
affine-transform-chain-obs-learning,affine_transform_chain_obs_learning,Observational Learning,Claude Sonnet 4.6,0.0,1174.0,101.0,2.49,1,1174,101,1605.0
affine-transform-chain-obs-learning,affine_transform_chain_obs_learning,Observational Learning,DeepSeek V3.2,0.5,,,,,,,
affine-transform-chain-obs-learning,affine_transform_chain_obs_learning,Observational Learning,GLM-5,0.0,,,,,,,
affine-transform-chain-obs-learning,affine_transform_chain_obs_learning,Observational Learning,GPT-5.4,0.5,,,,,,,
affine-transform-chain-obs-learning,affine_transform_chain_obs_learning,Observational Learning,GPT-5.4 mini,0.25,,,,,,,
affine-transform-chain-obs-learning,affine_transform_chain_obs_learning,Observational Learning,GPT-5.4 nano,0.0,,,,,,,
affine-transform-chain-obs-learning,affine_transform_chain_obs_learning,Observational Learning,Gemini 2.5 Flash,0.5,,,,,,,
affine-transform-chain-obs-learning,affine_transform_chain_obs_learning,Observational Learning,Gemini 3.1 Flash-Lite Preview,0.0,,,,,,,
affine-transform-chain-obs-learning,affine_transform_chain_obs_learning,Observational Learning,Gemini 3.1 Pro Preview,0.5,,,,,,,
affine-transform-chain-obs-learning,affine_transform_chain_obs_learning,Observational Learning,Gemma 4 26B A4B,0.0,,,,,,,
affine-transform-chain-obs-learning,affine_transform_chain_obs_learning,Observational Learning,Qwen 3 Next 80B Instruct,0.0,,,,,,,
affine-transform-chain-obs-learning,affine_transform_chain_obs_learning,Observational Learning,Qwen 3 Next 80B Thinking,0.5,,,,,,,
agglutinative-morphology-obs-learning,agglutinative_morphology_obs_learning,Observational Learning,Claude Haiku 4.5,0.25,,,,,,,
agglutinative-morphology-obs-learning,agglutinative_morphology_obs_learning,Observational Learning,Claude Opus 4.6,0.5,,,,,,,
agglutinative-morphology-obs-learning,agglutinative_morphology_obs_learning,Observational Learning,Claude Sonnet 4.6,0.25,,,,,,,
agglutinative-morphology-obs-learning,agglutinative_morphology_obs_learning,Observational Learning,DeepSeek V3.2,0.0,,,,,,,
agglutinative-morphology-obs-learning,agglutinative_morphology_obs_learning,Observational Learning,GLM-5,0.5,,,,,,,
agglutinative-morphology-obs-learning,agglutinative_morphology_obs_learning,Observational Learning,GPT-5.4,0.0,,,,,,,
agglutinative-morphology-obs-learning,agglutinative_morphology_obs_learning,Observational Learning,GPT-5.4 mini,0.25,,,,,,,
agglutinative-morphology-obs-learning,agglutinative_morphology_obs_learning,Observational Learning,GPT-5.4 nano,0.0,,,,,,,
agglutinative-morphology-obs-learning,agglutinative_morphology_obs_learning,Observational Learning,Gemini 2.5 Flash,0.25,,,,,,,
agglutinative-morphology-obs-learning,agglutinative_morphology_obs_learning,Observational Learning,Gemini 3.1 Flash-Lite Preview,0.0,,,,,,,
agglutinative-morphology-obs-learning,agglutinative_morphology_obs_learning,Observational Learning,Gemini 3.1 Pro Preview,1.0,,,,,,,
agglutinative-morphology-obs-learning,agglutinative_morphology_obs_learning,Observational Learning,Gemma 4 26B A4B,0.0,,,,,,,
agglutinative-morphology-obs-learning,agglutinative_morphology_obs_learning,Observational Learning,Qwen 3 Next 80B Instruct,0.0,,,,,,,
agglutinative-morphology-obs-learning,agglutinative_morphology_obs_learning,Observational Learning,Qwen 3 Next 80B Thinking,0.5,,,,,,,
arithmetic-entropy-coding-obs-learning,arithmetic_entropy_coding_obs_learning,Observational Learning,Claude Haiku 4.5,0.0,1695.0,92.0,1.72,1,1695,92,842.0
arithmetic-entropy-coding-obs-learning,arithmetic_entropy_coding_obs_learning,Observational Learning,Claude Opus 4.6,0.5,,,,,,,
arithmetic-entropy-coding-obs-learning,arithmetic_entropy_coding_obs_learning,Observational Learning,Claude Sonnet 4.6,0.5,,,,,,,
arithmetic-entropy-coding-obs-learning,arithmetic_entropy_coding_obs_learning,Observational Learning,DeepSeek V3.2,0.5,,,,,,,
arithmetic-entropy-coding-obs-learning,arithmetic_entropy_coding_obs_learning,Observational Learning,GLM-5,1.0,,,,,,,
arithmetic-entropy-coding-obs-learning,arithmetic_entropy_coding_obs_learning,Observational Learning,GPT-5.4,0.5,,,,,,,
arithmetic-entropy-coding-obs-learning,arithmetic_entropy_coding_obs_learning,Observational Learning,GPT-5.4 mini,0.0,,,,,,,
arithmetic-entropy-coding-obs-learning,arithmetic_entropy_coding_obs_learning,Observational Learning,GPT-5.4 nano,0.0,,,,,,,
arithmetic-entropy-coding-obs-learning,arithmetic_entropy_coding_obs_learning,Observational Learning,Gemini 2.5 Flash,1.0,,,,,,,
arithmetic-entropy-coding-obs-learning,arithmetic_entropy_coding_obs_learning,Observational Learning,Gemini 3.1 Flash-Lite Preview,0.5,,,,,,,
arithmetic-entropy-coding-obs-learning,arithmetic_entropy_coding_obs_learning,Observational Learning,Gemini 3.1 Pro Preview,1.0,,,,,,,
arithmetic-entropy-coding-obs-learning,arithmetic_entropy_coding_obs_learning,Observational Learning,Gemma 4 26B A4B,0.25,,,,,,,
arithmetic-entropy-coding-obs-learning,arithmetic_entropy_coding_obs_learning,Observational Learning,Qwen 3 Next 80B Instruct,1.0,,,,,,,
arithmetic-entropy-coding-obs-learning,arithmetic_entropy_coding_obs_learning,Observational Learning,Qwen 3 Next 80B Thinking,1.0,,,,,,,
arithmetic-next-rf-learning,arithmetic_next_rf_learning,Reinforcement Learning,Claude Haiku 4.5,0.1286,,,,,,,
arithmetic-next-rf-learning,arithmetic_next_rf_learning,Reinforcement Learning,Claude Opus 4.6,0.1714,,,,,,,
arithmetic-next-rf-learning,arithmetic_next_rf_learning,Reinforcement Learning,Claude Sonnet 4.6,0.1571,,,,,,,
arithmetic-next-rf-learning,arithmetic_next_rf_learning,Reinforcement Learning,DeepSeek V3.2,0.1286,,,,,,,
arithmetic-next-rf-learning,arithmetic_next_rf_learning,Reinforcement Learning,GLM-5,0.925,,,,,,,
