model,associative,concept,language,observational,rl,overall_mean,rank_associative,rank_concept,rank_language,rank_observational,rank_rl,rank_overall,tier,provider
Gemini 3.1 Pro Preview,0.9351190476190476,0.7236534518113465,0.7557284062091755,0.8374999999999999,0.6236619999999999,0.7751325811279139,1.0,1.0,1.0,1.0,1.0,1.0,frontier,Google
GLM-5,0.7916666666666666,0.5495574162679425,0.6932115960962115,0.557936507936508,0.5268419999999999,0.6238428373934657,2.0,2.0,2.0,3.0,2.0,2.0,frontier,Open-source
Qwen 3 Next 80B Thinking,0.6276190476190476,0.5411611414900889,0.6227024898178743,0.5799603174603175,0.47413200000000005,0.5691149992774657,6.0,3.0,3.0,2.0,4.0,3.0,mid,Open-source
Gemini 2.5 Flash,0.5949404761904762,0.517781954887218,0.4703971028971029,0.35,0.498106,0.48624510679495947,7.0,4.0,8.0,5.0,3.0,4.0,mid,Google
GPT-5.4,0.6501785714285714,0.2675538277511962,0.5997484246522709,0.2912698412698413,0.410544,0.443858933020376,5.0,9.0,4.0,8.0,9.0,5.0,frontier,OpenAI
Claude Opus 4.6,0.6616071428571428,0.2615789473684211,0.510034965034965,0.31527777777777777,0.40854399999999996,0.43140856660766136,3.0,10.0,5.0,6.0,10.0,6.0,frontier,Anthropic
Claude Sonnet 4.6,0.6507738095238096,0.3291507177033493,0.46679762545147163,0.25476190476190474,0.420138,0.42432441148810707,4.0,5.0,9.0,10.0,6.0,7.0,mid,Anthropic
Gemini 3.1 Flash-Lite Preview,0.5616071428571429,0.3225205058099795,0.49220548682087145,0.2845238095238095,0.411954,0.4145621890023607,8.0,6.0,6.0,9.0,8.0,8.0,mid,Google
DeepSeek V3.2,0.5232142857142856,0.19406015037593985,0.4725771344040575,0.42500000000000004,0.41507599999999995,0.4059855140988565,9.0,12.0,7.0,4.0,7.0,9.0,mid,Open-source
GPT-5.4 mini,0.4872619047619048,0.27581339712918657,0.46276185353108434,0.20515873015873018,0.2882,0.34383917711618117,12.0,8.0,10.0,13.0,12.0,10.0,mid,OpenAI
Gemma 4 26B A4B,0.5013784461152881,0.27823308270676694,0.2707474256512718,0.20714285714285713,0.447478,0.3409959623232368,11.0,7.0,14.0,12.0,5.0,11.0,small,Google
Claude Haiku 4.5,0.502202380952381,0.19842105263157897,0.34860543302851,0.24087301587301588,0.40360999999999997,0.3387423764970972,10.0,11.0,12.0,11.0,11.0,12.0,small,Anthropic
Qwen 3 Next 80B Instruct,0.4638095238095238,0.19096291866028708,0.4146001434462973,0.3033730158730159,0.267758,0.32810072035782484,13.0,13.0,11.0,7.0,13.0,13.0,small,Open-source
GPT-5.4 nano,0.4367857142857143,0.15556220095693782,0.3147442941673711,0.14365079365079364,0.20192800000000002,0.25053420061216336,14.0,14.0,13.0,14.0,14.0,14.0,small,OpenAI
