model,provider,overall_mean,rank_overall,rule_induction,rule_induction_rank,rank_delta
Gemini 3.1 Pro Preview,Google,0.7751325811279139,1.0,0.7805767259056733,1.0,0.0
GLM-5,Open-source,0.6238428373934657,2.0,0.5537469621022253,3.0,1.0
Qwen 3 Next 80B Thinking,Open-source,0.5691149992774657,3.0,0.5605607294752032,2.0,-1.0
Gemini 2.5 Flash,Google,0.4862451067949594,4.0,0.433890977443609,4.0,0.0
GPT-5.4,OpenAI,0.443858933020376,5.0,0.27941183451051876,9.0,4.0
Claude Opus 4.6,Anthropic,0.4314085666076613,6.0,0.2884283625730994,8.0,2.0
Claude Sonnet 4.6,Anthropic,0.424324411488107,7.0,0.291956311232627,7.0,0.0
Gemini 3.1 Flash-Lite Preview,Google,0.4145621890023607,8.0,0.3035221576668945,6.0,-2.0
DeepSeek V3.2,Open-source,0.4059855140988565,9.0,0.3095300751879699,5.0,-4.0
GPT-5.4 mini,OpenAI,0.3438391771161811,10.0,0.2404860636439583,12.0,2.0
Gemma 4 26B A4B,Google,0.3409959623232368,11.0,0.242687969924812,11.0,0.0
Claude Haiku 4.5,Anthropic,0.3387423764970972,12.0,0.21964703425229734,13.0,1.0
Qwen 3 Next 80B Instruct,Open-source,0.3281007203578248,13.0,0.24716796726665147,10.0,-3.0
GPT-5.4 nano,OpenAI,0.2505342006121633,14.0,0.14960649730386572,14.0,0.0
