model,tier,mean_score_before,mean_score_after,delta
Gemini 3.1 Pro Preview,frontier,0.7545148732371663,0.825803635977549,0.07128876274038276
GLM-5,frontier,0.5941646562587739,0.652562878663625,0.05839822240485104
GPT-5.4,frontier,0.4231916339499142,0.46011149659519224,0.03691986264527802
Claude Opus 4.6,frontier,0.41485298480712496,0.4565774295752557,0.04172444476813075
Qwen 3 Next 80B Thinking,mid,0.5547110873203229,0.6014258988595945,0.046714811539271595
Gemini 2.5 Flash,mid,0.4686133206496264,0.4764289227680532,0.007815602118426801
DeepSeek V3.2,mid,0.41428174564289216,0.4429367202845464,0.02865497464165423
Claude Sonnet 4.6,mid,0.4019934910100515,0.43473027600418906,0.03273678499413757
Gemini 3.1 Flash-Lite Preview,mid,0.39939538296098803,0.42641866032518205,0.02702327736419402
GPT-5.4 mini,mid,0.3187526592303662,0.33855894323068236,0.019806284000316143
Gemma 4 26B A4B,small,0.3392689238112315,0.35561741202836095,0.01634848821712942
Claude Haiku 4.5,small,0.3386939843595894,0.3544726247182769,0.01577864035868748
Qwen 3 Next 80B Instruct,small,0.31728443520386196,0.34081635019569806,0.0235319149918361
GPT-5.4 nano,small,0.22932790500370118,0.23872425907425907,0.009396354070557889
