category,category_full,task_name,model,score,tier,provider
associative,Associative Learning,spurious_hue_true_edge_assoc_learning,GLM-5,0.75,frontier,Open-source
associative,Associative Learning,inhibitory_summation_assoc_learning,GLM-5,0.75,frontier,Open-source
associative,Associative Learning,latent_cross_binding_assoc_learning,GLM-5,0.3333333333333333,frontier,Open-source
associative,Associative Learning,latent_set_binding_assoc_learning,GLM-5,0.8571428571428571,frontier,Open-source
associative,Associative Learning,latent_set_variant_assoc_learning,GLM-5,1.0,frontier,Open-source
associative,Associative Learning,learned_irrelevance_assoc_learning,GLM-5,0.875,frontier,Open-source
associative,Associative Learning,contextual_flip_assoc_learning,GLM-5,0.75,frontier,Open-source
associative,Associative Learning,latent_inhibition_assoc_learning,GLM-5,0.75,frontier,Open-source
associative,Associative Learning,xor_attribute_binding_assoc_learning,GLM-5,0.8333333333333334,frontier,Open-source
associative,Associative Learning,blocking_effect_assoc_learning,GLM-5,0.5,frontier,Open-source
associative,Associative Learning,temporal_pairing_tnr_assoc_learning,GLM-5,1.0,frontier,Open-source
associative,Associative Learning,deep_second_order_extinction_assoc_learning,GLM-5,1.0,frontier,Open-source
associative,Associative Learning,retrospective_revaluation_assoc_learning,GLM-5,0.7142857142857143,frontier,Open-source
associative,Associative Learning,occasion_setting_assoc_learning,GLM-5,0.9285714285714286,frontier,Open-source
associative,Associative Learning,overexpectation_assoc_learning,GLM-5,0.625,frontier,Open-source
associative,Associative Learning,inference_dyad_operators_assoc_learning,GLM-5,1.0,frontier,Open-source
associative,Associative Learning,spurious_hue_true_edge_assoc_learning,Gemma 4 26B A4B,0.0,small,Google
associative,Associative Learning,inhibitory_summation_assoc_learning,Gemma 4 26B A4B,0.5,small,Google
associative,Associative Learning,latent_cross_binding_assoc_learning,Gemma 4 26B A4B,0.5,small,Google
associative,Associative Learning,latent_set_binding_assoc_learning,Gemma 4 26B A4B,0.7142857142857143,small,Google
associative,Associative Learning,latent_set_variant_assoc_learning,Gemma 4 26B A4B,0.8333333333333334,small,Google
