category,task_name,frontier_mean,mid_mean,small_mean,frontier_small_gap
associative,blocking_effect_assoc_learning,0.75,0.6875,0.8125,-0.0625
associative,contextual_flip_assoc_learning,0.6875,0.375,0.4062,0.2812
associative,cumulative_state_rewrite_assoc_learning,0.381,0.2381,0.2143,0.1667
associative,deep_second_order_extinction_assoc_learning,1.0,0.8333,0.625,0.375
associative,gated_dual_signal_binding_assoc_learning,0.8333,0.5,0.1667,0.6667
associative,glyph_bind_assoc_learning,0.7333,0.2,0.15,0.5833
associative,inference_dyad_operators_assoc_learning,0.6562,0.2708,0.1562,0.5
associative,inhibitory_summation_assoc_learning,0.6875,0.5625,0.5,0.1875
associative,latent_cross_binding_assoc_learning,0.7083,0.6111,0.5417,0.1667
associative,latent_inhibition_assoc_learning,0.75,0.5833,0.5938,0.1562
associative,latent_set_binding_assoc_learning,0.9286,0.881,0.7143,0.2143
associative,latent_set_variant_assoc_learning,1.0,0.8611,0.8333,0.1667
associative,learned_irrelevance_assoc_learning,0.9375,0.8333,0.7188,0.2188
associative,occasion_setting_assoc_learning,0.9286,0.8571,0.7679,0.1607
associative,odd_letter_score_pair_assoc_learning,0.6667,0.5556,0.2917,0.375
associative,overexpectation_assoc_learning,0.5938,0.2917,0.3438,0.25
associative,retrospective_revaluation_assoc_learning,0.75,0.6905,0.3929,0.3571
associative,spurious_hue_true_edge_assoc_learning,0.4375,0.2083,0.1875,0.25
associative,temporal_pairing_tnr_assoc_learning,1.0,0.9167,0.75,0.25
associative,xor_attribute_binding_assoc_learning,0.625,0.5278,0.4167,0.2083
concept,consonant_clusters_concept_learning,0.3643,0.2488,0.0304,0.3339
concept,digit_cipher_concept_learning,0.6,0.0933,0.0,0.6
concept,disjunctive_noise_concept_learning,0.515,0.4025,0.3138,0.2012
concept,dual_recurrence_concept_learning,0.25,0.1367,0.23,0.02
concept,encoded_triple_concept_learning,0.6891,0.6271,0.2453,0.4438
concept,grid_transform_concept_learning,0.25,0.4,0.0,0.25
concept,hapax_prime_concept_learning,0.26,0.3567,0.29,-0.03
concept,interleave_reverse_concept_learning,0.5,0.3333,0.0,0.5
concept,layered_transform_concept_learning,0.4906,0.1573,0.0,0.4906
concept,modular_subsequence_concept_learning,0.14,0.1033,0.1175,0.0225
concept,nested_logic_concept_learning,0.7425,0.5383,0.4288,0.3137
concept,positional_encode_concept_learning,0.4775,0.2617,0.24,0.2375
concept,positional_mapping_concept_learning,0.7818,0.6114,0.3205,0.4614
concept,relational_pairs_concept_learning,0.565,0.6583,0.47,0.095
concept,semantic_override_concept_learning,0.375,0.7062,0.5812,-0.2063
concept,state_machine_concept_learning,0.5341,0.5068,0.3352,0.1989
concept,triple_parity_concept_learning,0.305,0.4567,0.155,0.15
concept,violation_counter_concept_learning,0.2838,0.1017,0.1525,0.1312
concept,vowel_rotation_concept_learning,0.4375,0.2048,0.0,0.4375
language,dimval_metathesis_lang_learning,0.5317,0.4019,0.1183,0.4135
language,drafnelt_switch_reference_lang_learning,1.0,0.9833,0.5594,0.4406
language,dralven_tone_sandhi_lang_learning,0.3527,0.331,0.2911,0.0616
language,drelkovak_harmony_lang_learning,0.805,0.5233,0.1775,0.6275
language,drelvak_reduplication_lang_learning,0.4634,0.4655,0.2812,0.1821
language,grelkan_suppletion_lang_learning,0.455,0.2783,0.335,0.12
language,gwelthar_mirative_evidential_tone_lang_learning,0.5798,0.4846,0.3548,0.225
language,kelstran_tone_lang_learning,0.72,0.385,0.05,0.67
language,kophar_quantity_lang_learning,0.6857,0.6417,0.4964,0.1893
language,mixed_radix_number_lang_learning,0.4227,0.1689,0.1409,0.2818
language,norkvash_scalar_lang_learning,0.7,0.3733,0.37,0.33
language,pelvan_agreement_lang_learning,0.3648,0.122,0.0739,0.2909
language,prentova_allomorphy_wugtest_lang_learning,0.55,0.5577,0.3839,0.1661
language,skelth_allomorph_lang_learning,0.9134,0.6583,0.5214,0.392
language,sklonveth_root_pattern_lang_learning,0.4464,0.4363,0.2509,0.1955
language,skolvren_polysynthetic_lang_learning,0.1469,0.0625,0.0,0.1469
language,skovar_deletion_lang_learning,0.7,0.5062,0.2188,0.4812
language,strelkov_ergative_lang_learning,1.0,0.8167,0.4167,0.5833
language,strevoklan_neg_lang_learning,0.535,0.1642,0.1925,0.3425
language,telvari_evidentiality_lang_learning,0.9591,0.8909,0.6318,0.3273
language,threlkav_scope_ergativity_lang_learning,1.0,0.9727,0.7818,0.2182
language,trenval_bleeding_lang_learning,0.7212,0.6083,0.4529,0.2683
language,trevkovan_gradation_lang_learning,0.7804,0.631,0.3571,0.4232
language,vrelthan_rule_interaction_lang_learning,0.4531,0.375,0.3875,0.0656
language,vrendel_templatic_lang_learning,0.8364,0.5614,0.5784,0.258
language,wukal_tones_lang_learning,0.5091,0.5455,0.3443,0.1648
observational,affine_transform_chain_obs_learning,0.4375,0.2917,0.0,0.4375
observational,agglutinative_morphology_obs_learning,0.5,0.2083,0.0625,0.4375
observational,arithmetic_entropy_coding_obs_learning,0.75,0.5833,0.3125,0.4375
observational,auction_mechanism_second_price_obs_learning,0.625,0.375,0.375,0.25
observational,chemical_reaction_order_obs_learning,0.3125,0.0417,0.1875,0.125
observational,codon_table_translation_obs_learning,0.5,0.3333,0.25,0.25
observational,custom_gravity_simulation_obs_learning,0.75,0.875,0.9375,-0.1875
observational,deceptive_stack_machine_obs_learning,0.5,0.5,0.25,0.25
observational,feistel_cipher_round_obs_learning,0.25,0.2083,0.0,0.25
observational,finite_state_transducer_obs_learning,0.625,0.1667,0.0625,0.5625
observational,flow_network_capacity_obs_learning,0.3125,0.3333,0.3125,0.0
observational,grid_parity_path_obs_learning,0.375,0.375,0.125,0.25
observational,hidden_attribute_rule_obs_learning,0.7188,0.5833,0.5625,0.1562
observational,hidden_damping_physics_obs_learning,0.6875,0.4167,0.125,0.5625
observational,hidden_graph_centrality_obs_learning,0.25,0.1667,0.0,0.25
observational,hidden_group_operation_obs_learning,0.3125,0.0833,0.0,0.3125
observational,hidden_matrix_fill_obs_learning,0.5,0.2917,0.25,0.25
observational,hidden_modal_logic_kripke2_obs_learning,0.4375,0.375,0.4062,0.0312
observational,hidden_modal_logic_kripke_obs_learning,0.4688,0.5208,0.25,0.2188
observational,hidden_priority_order_obs_learning,0.1875,0.25,0.25,-0.0625
observational,hidden_region_classifier_obs_learning,0.875,0.7778,0.9167,-0.0417
observational,hidden_state_machine_obs_learning,0.25,0.25,0.125,0.125
observational,hidden_token_filter_obs_learning,0.5625,0.375,0.0625,0.5
observational,lattice_meet_join_obs_learning,0.4375,0.2083,0.0,0.4375
observational,lfu_cache_eviction_obs_learning,0.375,0.3333,0.1875,0.1875
observational,linear_feedback_shift_register_obs_learning,0.5625,0.0833,0.0,0.5625
observational,mealy_machine_output_obs_learning,0.625,0.3333,0.1875,0.4375
observational,phonological_alternation_harmony_obs_learning,0.875,0.875,0.5,0.375
observational,pipeline_hazard_stall_counting_obs_learning,0.5,0.1667,0.0,0.5
observational,pushdown_automaton_inference_obs_learning,0.875,0.875,0.75,0.125
observational,regex_intersection_membership_obs_learning,0.9375,0.8333,0.5625,0.375
observational,register_machine_trace_obs_learning,0.4375,0.0,0.0,0.4375
observational,ring_operations_hidden_carry_obs_learning,0.625,0.375,0.0,0.625
observational,shapley_values_cooperative_game_obs_learning,0.5,0.1667,0.0,0.5
observational,sigil_naming_obs_learning,0.5625,0.125,0.125,0.4375
observational,singleton_gate_local_max_obs_learning,0.3125,0.2083,0.125,0.1875
observational,symbolic_glyphpair_scoring_obs_learning,0.0,0.2083,0.0,0.0
observational,syntax_tree_rewrite_obs_learning,0.875,0.5,0.4375,0.4375
observational,titration_curve_diprotic_obs_learning,0.5,0.3,0.2,0.3
observational,two_counter_machine_obs_learning,0.25,0.4444,0.1667,0.0833
observational,vigenere_variant_cipher_obs_learning,0.125,0.0,0.0,0.125
observational,voronoi_custom_metric_obs_learning,0.4583,0.2778,0.3333,0.125
rl,affine_cipher_word_rf_learning,0.6067,0.0067,0.41,0.1967
rl,arithmetic_next_rf_learning,0.5539,0.3919,0.1143,0.4396
rl,base7_decode_rf_learning,0.7,0.7052,0.5703,0.1297
rl,battleship_1d_rf_learning,0.9173,0.4504,0.4752,0.4421
rl,battleship_two_ships_rf_learning,0.9508,0.5422,0.318,0.6328
rl,bitstring_hamming_rf_learning,0.3622,0.2499,0.0964,0.2658
rl,chebyshev_point_rf_learning,0.9978,0.8513,0.1678,0.83
rl,coin_balance_rf_learning,1.0,0.9005,0.7603,0.2397
rl,collatz_length_rf_learning,0.4739,0.1896,0.2232,0.2507
rl,crt_unique_rf_learning,0.6,0.5325,0.5833,0.0167
rl,cubic_eval_rf_learning,0.9923,0.8445,0.906,0.0864
rl,cyclic_distance_rf_learning,1.0,1.0,0.7662,0.2338
rl,digit_square_error_rf_learning,0.37,0.1944,0.193,0.177
rl,digitwise_l1_rf_learning,0.3722,0.1558,0.1508,0.2215
rl,divisor_count_rf_learning,0.7642,0.7642,0.3974,0.3668
rl,euler_totient_rf_learning,0.0,0.0,0.0,0.0
rl,fib_like_next_rf_learning,0.7531,0.6927,0.9024,-0.1492
rl,graph_shortest_path_rf_learning,0.6828,0.8468,0.631,0.0517
rl,gray_hamming_rf_learning,0.496,0.1444,0.1333,0.3626
rl,grid_nav_rf_learning,0.27,0.492,0.6583,-0.3883
rl,grid_octile_rf_learning,0.5,0.8467,0.6969,-0.1969
rl,grid_seven_rf_learning,0.0208,0.0333,0.0084,0.0125
