task,model,phase,round,score
adaptive-sort-rule,Claude Haiku,practice,1,0.4273
adaptive-sort-rule,Claude Haiku,practice,2,0.5091
adaptive-sort-rule,Claude Haiku,practice,3,0.4273
adaptive-sort-rule,Claude Haiku,practice,4,0.7545
adaptive-sort-rule,Claude Haiku,practice,5,0.4273
adaptive-sort-rule,Claude Haiku,transfer,1,0.0
adaptive-sort-rule,Claude Haiku,transfer,2,0.0
adaptive-sort-rule,Claude Haiku,transfer,3,0.0
adaptive-sort-rule,Claude Haiku,transfer,4,0.0
adaptive-sort-rule,Claude Opus,practice,1,0.5909
adaptive-sort-rule,Claude Opus,practice,2,1.0
adaptive-sort-rule,Claude Opus,practice,3,1.0
adaptive-sort-rule,Claude Opus,practice,4,1.0
adaptive-sort-rule,Claude Opus,practice,5,1.0
adaptive-sort-rule,Claude Opus,transfer,1,1.0
adaptive-sort-rule,Claude Opus,transfer,2,1.0
adaptive-sort-rule,Claude Opus,transfer,3,1.0
adaptive-sort-rule,Claude Opus,transfer,4,1.0
adaptive-sort-rule,Claude Sonnet,practice,1,0.6727
adaptive-sort-rule,Claude Sonnet,practice,2,1.0
adaptive-sort-rule,Claude Sonnet,practice,3,1.0
adaptive-sort-rule,Claude Sonnet,practice,4,1.0
adaptive-sort-rule,Claude Sonnet,practice,5,1.0
adaptive-sort-rule,Claude Sonnet,transfer,1,1.0
adaptive-sort-rule,Claude Sonnet,transfer,2,1.0
adaptive-sort-rule,Claude Sonnet,transfer,3,0.0
adaptive-sort-rule,Claude Sonnet,transfer,4,1.0
adaptive-sort-rule,DeepSeek,practice,1,0.5909
adaptive-sort-rule,DeepSeek,practice,2,0.3455
adaptive-sort-rule,DeepSeek,practice,3,0.3455
adaptive-sort-rule,DeepSeek,practice,4,1.0
adaptive-sort-rule,DeepSeek,practice,5,0.1818
adaptive-sort-rule,DeepSeek,transfer,1,0.0
adaptive-sort-rule,DeepSeek,transfer,2,0.0
adaptive-sort-rule,DeepSeek,transfer,3,1.0
adaptive-sort-rule,DeepSeek,transfer,4,0.0
adaptive-sort-rule,GLM-5,practice,1,0.6727
adaptive-sort-rule,GLM-5,practice,2,1.0
