task,model,n_practice_rounds,n_transfer_tests,practice_round_1,practice_round_last,delta_first_to_last,ols_slope,trajectory_class,mean_practice_score,mean_transfer_score,composite_score
adaptive-sort-rule,Claude Haiku,5,4,0.4273,0.4273,0.0,0.02454,flat,0.5091,0.0,0.3901
adaptive-sort-rule,Claude Opus,5,4,0.5909,1.0,0.4091,0.08182,improving,0.9182,1.0,0.9104
adaptive-sort-rule,Claude Sonnet,5,4,0.6727,1.0,0.3273,0.06546,improving,0.9345,0.75,0.8284
adaptive-sort-rule,DeepSeek,5,4,0.5909,0.1818,-0.4091,-0.01637,flat,0.4927,0.25,0.4359
adaptive-sort-rule,GLM-5,5,4,0.6727,1.0,0.3273,0.06546,improving,0.9345,1.0,0.9034
adaptive-sort-rule,GPT-5.4,5,4,0.5091,0.6727,0.1636,0.08181,improving,0.6727,0.0,0.5204
adaptive-sort-rule,GPT-mini,5,4,0.5091,0.6727,0.1636,-1e-05,flat,0.4927,0.0,0.3304
adaptive-sort-rule,GPT-nano,5,4,0.0,0.6727,0.6727,0.17545,improving,0.5218,0.0,0.5393
adaptive-sort-rule,G-Flash,5,4,0.5909,1.0,0.4091,0.08182,improving,0.9182,0.75,0.8354
adaptive-sort-rule,G-Lite,5,4,0.0,0.4273,0.4273,0.05273,improving,0.3418,0.0,0.3029
adaptive-sort-rule,G-Pro,5,4,0.8364,1.0,0.1636,0.03272,improving,0.9673,0.75,0.8142
adaptive-sort-rule,Gemma,5,4,0.5909,0.5091,-0.0818,0.0,flat,0.5745,0.0,0.3876
adaptive-sort-rule,Qwen-I,5,4,0.4273,0.1818,-0.2455,0.01636,flat,0.4927,0.0,0.3714
adaptive-sort-rule,Qwen-T,5,4,0.0,0.0,0.0,0.0,flat,0.0,0.0,
boolean-circuit,Claude Haiku,5,4,0.1,0.2,0.1,0.05,improving,0.12,0.0,0.2432
boolean-circuit,Claude Opus,5,4,0.1,0.0,-0.1,0.0,flat,0.06,0.0,0.162
boolean-circuit,Claude Sonnet,5,4,0.1,0.0,-0.1,-0.02,flat,0.08,0.25,0.2158
boolean-circuit,DeepSeek,5,4,0.5,0.1,-0.4,-0.09,deteriorating,0.26,0.0,0.145
boolean-circuit,GLM-5,5,4,0.6,0.2,-0.4,-0.09,deteriorating,0.54,0.0,0.276
boolean-circuit,GPT-5.4,5,4,0.0,0.0,0.0,0.0,flat,0.0,0.0,
boolean-circuit,GPT-mini,5,4,0.0,0.0,0.0,0.0,flat,0.0,0.0,
boolean-circuit,GPT-nano,5,4,0.0,0.0,0.0,0.0,flat,0.0,0.0,
