task,Claude Haiku 4.5,Claude Opus 4.6,Claude Sonnet 4.6,DeepSeek V3.2,GLM-5,GPT-5.4,GPT-5.4 mini,GPT-5.4 nano,Gemini 2.5 Flash,Gemini 3.1 Flash-Lite Preview,Gemini 3.1 Pro Preview,Gemma 4 26B A4B,Qwen 3 Next 80B Instruct,Qwen 3 Next 80B Thinking
affine_cipher_word_rf_learning,0.04,0.04,0.04,0.0,0.7868,0.8,0.0,0.8,0.0,0.0,0.8,0.8,0.0,0.0
affine_transform_chain_obs_learning,0.0,0.75,0.0,0.5,0.0,0.5,0.25,0.0,0.5,0.0,0.5,0.0,0.0,0.5
agglutinative_morphology_obs_learning,0.25,0.5,0.25,0.0,0.5,0.0,0.25,0.0,0.25,0.0,1.0,0.0,0.0,0.5
arithmetic_entropy_coding_obs_learning,0.0,0.5,0.5,0.5,1.0,0.5,0.0,0.0,1.0,0.5,1.0,0.25,1.0,1.0
arithmetic_next_rf_learning,0.1286,0.1714,0.1571,0.1286,0.925,0.1857,0.1143,0.1,0.9083,0.1429,0.9333,0.1286,0.1,0.9
auction_mechanism_second_price_obs_learning,0.5,0.0,0.5,0.75,1.0,0.5,0.25,0.25,0.25,0.25,1.0,0.25,0.5,0.25
base7_decode_rf_learning,1.0,0.8,1.0,1.0,1.0,0.2,0.2,0.1562,0.925,0.1063,0.8,1.0,0.125,1.0
battleship_1d_rf_learning,0.9404,0.8279,0.0,0.9404,0.9074,0.9338,0.9735,0.0,0.7882,0.0,1.0,0.9603,0.0,0.0
battleship_two_ships_rf_learning,0.9719,0.85,0.9719,0.1,0.9531,1.0,0.9812,0.1,0.1,1.0,1.0,0.1,0.1,0.1
bitstring_hamming_rf_learning,0.1429,0.1429,0.1857,0.1143,0.1714,0.1857,0.1286,0.0714,0.1143,0.7852,0.9489,0.1714,0.0,0.1714
blocking_effect_assoc_learning,0.625,1.0,1.0,0.75,0.5,1.0,0.75,0.875,0.5,0.625,0.5,0.875,0.875,0.5
chebyshev_point_rf_learning,0.1857,0.9913,0.9394,0.9827,1.0,1.0,0.1857,0.1571,1.0,1.0,1.0,0.1643,0.1643,1.0
chemical_reaction_order_obs_learning,0.25,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,1.0,0.0,0.5,0.0
codon_table_translation_obs_learning,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
coin_balance_rf_learning,1.0,1.0,0.8015,0.9603,1.0,1.0,0.9603,0.2,0.8809,0.8,1.0,1.0,0.8412,1.0
collatz_length_rf_learning,0.8364,0.9284,0.044,0.1024,0.06,0.0196,0.014,0.0124,0.8875,0.0436,0.8875,0.0192,0.0248,0.0464
consonant_clusters_concept_learning,0.0,0.0,0.1,0.20714285714285713,0.5,0.0,0.0,0.0,0.2392857142857143,0.4785714285714286,0.9571428571428572,0.12142857142857144,0.0,0.46785714285714286
contextual_flip_assoc_learning,0.5,0.625,0.375,0.375,0.75,0.5,0.375,0.375,0.625,0.25,0.75,0.375,0.125,0.5
crt_unique_rf_learning,0.2,1.0,0.2,0.8088,0.2,0.2,0.2,0.2,0.2,0.8088,1.0,1.0,0.9333,0.9775
cubic_eval_rf_learning,0.9795,1.0,0.9489,0.9693,1.0,0.9693,0.2,0.8284,0.9591,0.9898,1.0,1.0,0.8159,1.0
cumulative_state_rewrite_assoc_learning,0.5714285714285714,0.14285714285714285,0.14285714285714285,0.0,1.0,0.0,0.14285714285714285,0.0,0.7142857142857143,0.2857142857142857,1.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
custom_gravity_simulation_obs_learning,1.0,1.0,1.0,0.75,0.0,1.0,0.5,0.75,1.0,1.0,1.0,1.0,1.0,1.0
deep_second_order_extinction_assoc_learning,0.8,1.0,1.0,0.7,1.0,1.0,0.8,0.5,0.7,0.9,1.0,0.6,0.6,0.9
