model_name,model_slug,task_slug,category,score,eval_date
Gemini 3.1 Pro Preview,gemini-3.1-pro-preview,spurious-hue-true-edge-assoc-learning,assoc-learning,1.0,2026-04-09T11:23:02.368864Z
Gemini 3.1 Pro Preview,gemini-3.1-pro-preview,inhibitory-summation-assoc-learning,assoc-learning,1.0,2026-04-09T11:28:41.317055Z
Gemini 3.1 Pro Preview,gemini-3.1-pro-preview,latent-cross-binding-assoc-learning,assoc-learning,1.0,2026-04-04T10:27:14.829683Z
Gemini 3.1 Pro Preview,gemini-3.1-pro-preview,latent-set-binding-assoc-learning,assoc-learning,1.0,2026-04-04T11:59:31.539308Z
Gemini 3.1 Pro Preview,gemini-3.1-pro-preview,latent-set-variant-assoc-learning,assoc-learning,1.0,2026-04-04T11:59:36.271628Z
Gemini 3.1 Pro Preview,gemini-3.1-pro-preview,learned-irrelevance-assoc-learning,assoc-learning,1.0,2026-04-04T11:05:56.90974Z
Gemini 3.1 Pro Preview,gemini-3.1-pro-preview,10001,unknown,0.75,2026-04-15T14:05:07.05188Z
Gemini 3.1 Pro Preview,gemini-3.1-pro-preview,counterfactual-sequence-rewrite-assoc-learning,assoc-learning,1.0,2026-04-04T17:28:27.95225Z
Gemini 3.1 Pro Preview,gemini-3.1-pro-preview,10002,unknown,1.0,2026-04-04T17:32:17.581987Z
Gemini 3.1 Pro Preview,gemini-3.1-pro-preview,xor-attribute-binding-assoc-learning,assoc-learning,0.833333,2026-04-04T18:54:42.016257Z
Gemini 3.1 Pro Preview,gemini-3.1-pro-preview,blocking-effect-assoc-learning,assoc-learning,0.5,2026-04-04T19:50:43.084951Z
Gemini 3.1 Pro Preview,gemini-3.1-pro-preview,temporal-pairing-tnr-assoc-learning,assoc-learning,1.0,2026-04-04T20:07:03.000265Z
Gemini 3.1 Pro Preview,gemini-3.1-pro-preview,second-order-extinction-assoc-learning,assoc-learning,1.0,2026-04-04T21:26:24.771429Z
Gemini 3.1 Pro Preview,gemini-3.1-pro-preview,retrospective-revaluation-assoc-learning,assoc-learning,1.0,2026-04-04T21:27:57.30376Z
Gemini 3.1 Pro Preview,gemini-3.1-pro-preview,occasion-setting-assoc-learning,assoc-learning,0.785714,2026-04-04T22:19:25.761573Z
Gemini 3.1 Pro Preview,gemini-3.1-pro-preview,temporal-pairing-kmp-assoc-learning,assoc-learning,1.0,2026-04-04T22:29:37.573651Z
Gemini 3.1 Pro Preview,gemini-3.1-pro-preview,overexpectation-assoc-learning,assoc-learning,1.0,2026-04-04T22:56:28.336589Z
Gemini 3.1 Pro Preview,gemini-3.1-pro-preview,sensory-preconditioning-assoc-learning,assoc-learning,1.0,2026-04-10T10:55:54.71289Z
Gemini 3.1 Pro Preview,gemini-3.1-pro-preview,digit-cipher-concept-learning,concept-learning,1.0,2026-04-10T14:38:07.445212Z
Gemini 3.1 Pro Preview,gemini-3.1-pro-preview,disjunctive-noise-concept-learning,concept-learning,0.525,2026-04-09T16:32:40.837779Z
Gemini 3.1 Pro Preview,gemini-3.1-pro-preview,dual-recurrence-concept-learning,concept-learning,0.2,2026-04-09T17:56:42.282964Z
Gemini 3.1 Pro Preview,gemini-3.1-pro-preview,encoded-triple-concept-learning,concept-learning,1.0,2026-04-10T13:34:16.954771Z
Gemini 3.1 Pro Preview,gemini-3.1-pro-preview,nested-logic-concept-learning,concept-learning,1.0,2026-04-10T13:30:09.669951Z
Gemini 3.1 Pro Preview,gemini-3.1-pro-preview,positional-encode-concept-learning,concept-learning,0.96,2026-04-10T13:54:14.045351Z
Gemini 3.1 Pro Preview,gemini-3.1-pro-preview,layered-transform-concept-learning,concept-learning,1.0,2026-04-12T00:33:44.254416Z
Gemini 3.1 Pro Preview,gemini-3.1-pro-preview,consonant-clusters-concept-learning,concept-learning,0.957143,2026-04-12T01:16:50.733812Z
Gemini 3.1 Pro Preview,gemini-3.1-pro-preview,modular-subsequence-concept-learning,concept-learning,0.22,2026-04-12T01:18:52.231413Z
Gemini 3.1 Pro Preview,gemini-3.1-pro-preview,semantic-override-concept-learning,concept-learning,0.85,2026-04-15T14:20:18.183877Z
Gemini 3.1 Pro Preview,gemini-3.1-pro-preview,positional-mapping-concept-learning,concept-learning,1.0,2026-04-10T12:45:28.488871Z
Gemini 3.1 Pro Preview,gemini-3.1-pro-preview,relational-pairs-concept-learning,concept-learning,0.6,2026-04-10T12:45:54.945585Z
Gemini 3.1 Pro Preview,gemini-3.1-pro-preview,state-machine-concept-learning,concept-learning,0.727273,2026-04-10T12:46:43.851913Z
Gemini 3.1 Pro Preview,gemini-3.1-pro-preview,triple-parity-concept-learning,concept-learning,0.64,2026-04-10T12:49:00.405894Z
Gemini 3.1 Pro Preview,gemini-3.1-pro-preview,vowel-rotation-concept-learning,concept-learning,1.0,2026-04-10T15:24:38.026897Z
Gemini 3.1 Pro Preview,gemini-3.1-pro-preview,violation-counter-concept-learning,concept-learning,0.7,2026-04-10T13:36:40.206908Z
