task_slug,category,Claude Haiku 4.5,Claude Opus 4.6,Claude Sonnet 4.6,DeepSeek V3.2,GLM-5,GPT-5.4,GPT-5.4 mini,GPT-5.4 nano,Gemini 2.5 Flash,Gemini 3.1 Flash-Lite Preview,Gemini 3.1 Pro Preview,Gemma 4 26B A4B,Qwen 3 Next 80B Instruct,Qwen 3 Next 80B Thinking
blocking-effect-assoc-learning,assoc-learning,0.625,1.0,1.0,0.75,0.5,1.0,0.75,0.875,0.5,0.625,0.5,0.875,0.875,0.5
counterfactual-sequence-rewrite-assoc-learning,assoc-learning,0.571429,0.142857,0.142857,0.0,1.0,0.0,0.142857,0.0,0.714286,0.285714,1.0,0.142857,0.142857,0.142857
inhibitory-summation-assoc-learning,assoc-learning,0.25,0.5,0.75,0.625,0.75,0.5,0.375,0.625,0.625,0.375,1.0,0.5,0.625,0.625
latent-cross-binding-assoc-learning,assoc-learning,0.5,0.5,0.666667,0.5,0.333333,1.0,0.333333,0.666667,0.5,0.666667,1.0,0.5,0.5,1.0
latent-set-binding-assoc-learning,assoc-learning,0.428571,1.0,1.0,1.0,0.857143,0.857143,0.428571,1.0,1.0,1.0,1.0,0.714286,0.714286,0.857143
latent-set-variant-assoc-learning,assoc-learning,0.833333,1.0,0.833333,0.833333,1.0,1.0,1.0,0.833333,0.833333,0.833333,1.0,0.833333,0.833333,0.833333
learned-irrelevance-assoc-learning,assoc-learning,0.75,0.875,0.875,0.75,0.875,1.0,0.5,0.5,1.0,1.0,1.0,0.875,0.75,0.875
occasion-setting-assoc-learning,assoc-learning,0.857143,1.0,1.0,0.785714,0.928571,1.0,0.928571,0.5,0.642857,1.0,0.785714,0.857143,0.857143,0.785714
overexpectation-assoc-learning,assoc-learning,0.25,0.25,0.25,0.25,0.625,0.5,0.5,0.0,0.25,0.25,1.0,0.875,0.25,0.25
retrospective-revaluation-assoc-learning,assoc-learning,0.428571,0.714286,0.714286,0.428571,0.714286,0.571429,0.428571,0.285714,1.0,0.571429,1.0,0.428571,0.428571,1.0
second-order-extinction-assoc-learning,assoc-learning,0.8,1.0,1.0,0.7,1.0,1.0,0.8,0.5,0.7,0.9,1.0,0.6,0.6,0.9
sensory-preconditioning-assoc-learning,assoc-learning,0.125,0.375,0.375,0.25,1.0,0.25,0.125,0.25,0.25,0.5,1.0,0.125,0.125,0.125
serial-chain-reconstruction-assoc-learning,assoc-learning,0.1,1.0,0.1,0.1,0.0,0.3,0.3,0.1,0.2,0.1,1.0,0.2,0.2,0.3
spurious-hue-true-edge-assoc-learning,assoc-learning,0.0,0.0,0.25,0.0,0.75,0.0,0.0,0.5,0.5,0.0,1.0,0.0,0.25,0.5
temporal-pairing-kmp-assoc-learning,assoc-learning,0.333333,0.5,0.666667,0.5,1.0,1.0,0.333333,0.0,0.166667,0.5,1.0,0.0,0.166667,0.833333
temporal-pairing-tnr-assoc-learning,assoc-learning,1.0,1.0,1.0,0.75,1.0,1.0,1.0,0.5,0.75,1.0,1.0,0.5,0.75,1.0
xor-attribute-binding-assoc-learning,assoc-learning,0.666667,0.666667,0.666667,0.666667,0.833333,0.166667,0.166667,0.166667,0.666667,0.5,0.833333,0.666667,0.166667,0.5
consonant-clusters-concept-learning,concept-learning,0.0,0.0,0.1,0.207143,0.5,0.0,0.0,0.0,0.239286,0.478571,0.957143,0.121429,0.0,0.467857
digit-cipher-concept-learning,concept-learning,0.0,0.4,0.0,0.4,1.0,0.0,0.0,0.0,0.16,0.0,1.0,0.0,0.0,0.0
disjunctive-noise-concept-learning,concept-learning,0.4,0.4,0.46,0.0,0.7,0.435,0.525,0.1,0.3,0.38,0.525,0.435,0.32,0.75
dual-recurrence-concept-learning,concept-learning,0.3,0.4,0.4,0.2,0.0,0.4,0.22,0.22,0.0,0.0,0.2,0.4,0.0,0.0
encoded-triple-concept-learning,concept-learning,0.2,0.4,0.6375,0.0,1.0,0.35625,0.5,0.175,1.0,0.7,1.0,0.25,0.35625,0.925
grid-transform-concept-learning,concept-learning,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
interleave-reverse-concept-learning,concept-learning,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
layered-transform-concept-learning,concept-learning,0.0,0.0,0.0,0.0,0.9625,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.94375
modular-subsequence-concept-learning,concept-learning,0.1,0.1,0.0,0.14,0.0,0.24,0.0,0.17,0.0,0.24,0.22,0.2,0.0,0.24
nested-logic-concept-learning,concept-learning,0.2,0.52,0.5,0.48,0.75,0.7,0.5,0.35,0.75,0.75,1.0,0.525,0.64,0.25
positional-encode-concept-learning,concept-learning,0.2,0.1,0.22,0.1,0.25,0.6,0.0,0.13,0.75,0.25,0.96,0.44,0.19,0.25
positional-mapping-concept-learning,concept-learning,0.4,0.4,1.0,0.0,1.0,0.727273,0.25,0.227273,1.0,0.472727,1.0,0.2,0.454545,0.945455
relational-pairs-concept-learning,concept-learning,0.42,0.4,0.56,0.51,0.6,0.66,0.66,0.45,0.72,0.75,0.6,0.56,0.45,0.75
semantic-override-concept-learning,concept-learning,0.75,0.75,0.8,0.3,0.75,0.3375,0.2,0.3375,0.95,0.6375,0.85,0.5,0.3375,0.9
state-machine-concept-learning,concept-learning,0.3,0.4,0.586364,0.3,0.709091,0.3,0.445455,0.340909,1.0,0.209091,0.727273,0.4,0.3,0.5
triple-parity-concept-learning,concept-learning,0.2,0.2,0.51,0.45,0.25,0.13,0.32,0.0,0.24,0.76,0.64,0.12,0.3,0.46
violation-counter-concept-learning,concept-learning,0.0,0.2,0.2,0.0,0.0,0.235,0.41,0.175,0.0,0.0,0.7,0.435,0.0,0.0
vowel-rotation-concept-learning,concept-learning,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.478571,0.0,1.0,0.0,0.0,0.75
dimval-metathesis-lang-learning,lang-learning,0.1,0.2,0.223077,0.292308,0.676923,0.25,0.226923,0.192308,0.4,0.453846,1.0,0.0,0.180769,0.815385
drafnelt-switch-reference-lang-learning,lang-learning,0.7,1.0,1.0,1.0,1.0,1.0,0.95,0.4,0.95,1.0,1.0,0.3375,0.8,1.0
dralven-tone-sandhi-lang-learning,lang-learning,0.225,0.4,0.2,0.2,1.0,0.375,0.675,0.1875,0.3,0.6375,0.3,0.1,0.25,0.45
drelkovak-harmony-lang-learning,lang-learning,0.21,1.0,0.5,0.66,0.72,0.75,0.23,0.0,0.75,0.25,0.75,0.28,0.22,0.75
drelvak-reduplication-lang-learning,lang-learning,0.3,0.4,0.5,0.460714,0.589286,0.25,0.196429,0.307143,0.7,0.5,0.614286,0.3,0.217857,0.435714
grelkan-suppletion-lang-learning,lang-learning,0.36,0.4,0.3,0.6,0.64,0.3,0.23,0.26,0.3,0.24,0.48,0.28,0.44,0.0
gwelthar-mirative-evidential-tone-lang-learning,lang-learning,0.492308,0.3,0.723077,0.538462,0.680769,0.430769,0.646154,0.315385,0.25,0.25,0.907692,0.0,0.611538,0.5
kelstran-tone-lang-learning,lang-learning,0.2,0.4,0.0,0.48,0.92,0.72,0.22,0.0,0.48,0.5,0.84,0.0,0.0,0.63
